都道府県名,人口（男性）,人口（女）,人口（合計）
国内合計,61411000,64756000,126167000
北海道,2472000,2778000,5250000
青森県,585000,661000,1246000
岩手県,592000,635000,1227000
宮城県,1127000,1179000,2306000
秋田県,454000,512000,966000
山形県,520000,558000,1078000
福島県,914000,931000,1846000
茨城県,1427000,1433000,2860000
栃木県,964000,970000,1934000
群馬県,962000,981000,1942000
埼玉県,3668000,3682000,7350000
千葉県,3105000,3155000,6259000
東京都,6846000,7075000,13921000
神奈川県,4585000,4613000,9198000
新潟県,1078000,1145000,2223000
富山県,506000,537000,1044000
石川県,553000,585000,1138000
福井県,374000,394000,768000
山梨県,397000,414000,811000
長野県,1000000,1049000,2049000
岐阜県,964000,1022000,1987000
静岡県,1797000,1847000,3644000
愛知県,3780000,3773000,7552000
三重県,870000,911000,1781000
滋賀県,699000,715000,1414000
京都府,1234000,1349000,2583000
大阪府,4227000,4582000,8809000
兵庫県,2605000,2861000,5466000
奈良県,626000,704000,1330000
和歌山県,435000,490000,925000
鳥取県,266000,290000,556000
島根県,326000,349000,674000
岡山県,909000,980000,1890000
広島県,1362000,1442000,2804000
山口県,645000,713000,1358000
徳島県,347000,381000,728000
香川県,464000,492000,956000
愛媛県,634000,705000,1339000
高知県,329000,369000,698000
福岡県,2416000,2688000,5104000
佐賀県,386000,429000,815000
長崎県,624000,702000,1327000
熊本県,825000,922000,1748000
大分県,539000,597000,1135000
宮崎県,505000,568000,1073000
鹿児島県,753000,849000,1602000
沖縄県,715000,738000,1453000
