日付	国内合計	北海道	青森県	岩手県	宮城県	秋田県	山形県	福島県	茨城県	栃木県	群馬県	埼玉県	千葉県	東京都	神奈川県	新潟県	富山県	石川県	福井県	山梨県	長野県	岐阜県	静岡県	愛知県	三重県	滋賀県	京都府	大阪府	兵庫県	奈良県	和歌山県	鳥取県	島根県	岡山県	広島県	山口県	徳島県	香川県	愛媛県	高知県	福岡県	佐賀県	長崎県	熊本県	大分県	宮崎県	鹿児島県	沖縄県
2020/1/16																																																
2020/1/17																																																
2020/1/18																																																
2020/1/19																																																
2020/1/20																																																
2020/1/21																																																
2020/1/22	7.92600283750902E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08719286801479E-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/24	7.92600283750902E-04	0	0	0	0	0	0	0	0	0	0	0	0	7.18339199770131E-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/25	1.5852005675018E-03	0	0	0	0	0	0	0	0	0	0	0	0	1.43667839954026E-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/26	2.3778008512527E-03	0	0	0	0	0	0	0	0	0	0	0	0	1.43667839954026E-02	0	0	0	0	0	0	0	0	0	1.32415254237288E-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/27	2.3778008512527E-03	0	0	0	0	0	0	0	0	0	0	0	0	1.43667839954026E-02	0	0	0	0	0	0	0	0	0	1.32415254237288E-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/28	4.75560170250541E-03	0.019047619047619	0	0	0	0	0	0	0	0	0	0	0	1.43667839954026E-02	0	0	0	0	0	0	0	0	0	2.64830508474576E-02	0	0	0	0	0	0.075187969924812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/29	5.54820198625631E-03	0.019047619047619	0	0	0	0	0	0	0	0	0	0	0	1.43667839954026E-02	0	0	0	0	0	0	0	0	0	2.64830508474576E-02	0	0	0	1.13520263367011E-02	0	0.075187969924812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/30	8.71860312125992E-03	0.019047619047619	0	0	0	0	0	0	0	0	0	0	0.015976993129893	2.15501759931039E-02	0	0	0	0	0	0	0	0	0	2.64830508474576E-02	5.61482313307131E-02	0	3.87146728610143E-02	1.13520263367011E-02	0	0.075187969924812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020/1/31	7.92600283750902E-03	0.019047619047619	0	0	0	0	0	0	0	0	0	0	0.015976993129893	1.43667839954026E-02	0	0	0	0	0	0	0	0	0	2.64830508474576E-02	5.61482313307131E-02	0	3.87146728610143E-02	1.13520263367011E-02	0	0.075187969924812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
