日付	感染者数	感染者数(7日間平均)	感染者数(10万人あたり)	感染者数(10万人あたり・7日間平均)	感染者数(累計)	死者数	死者数(7日間平均)	死者数(累計)	重症者数	重症者数(7日間平均)	入院療養中	退院療養解除	退院療養解除(累計)	PCR検査数(自費検査を除く)	PCR検査数(自費検査を含む)
2020/1/16															
2020/1/17															
2020/1/18															
2020/1/19															
2020/1/20															
2020/1/21															
2020/1/22															
2020/1/23															
2020/1/24															
2020/1/25															
2020/1/26															
2020/1/27															
2020/1/28															
2020/1/29															
2020/1/30															
2020/1/31															
2020/2/1															
2020/2/2															
2020/2/3															
2020/2/4															
2020/2/5															
2020/2/6															
2020/2/7															
2020/2/8															
2020/2/9															
2020/2/10															
2020/2/11															
2020/2/12															
2020/2/13															
2020/2/14															
2020/2/15															
2020/2/16															
2020/2/17															
2020/2/18														1024	1024
2020/2/19														692	692
2020/2/20														793	793
2020/2/21														1591	1591
2020/2/22														1166	1166
2020/2/23														654	654
2020/2/24														602	602
2020/2/25														928	928
2020/2/26														1405	1405
2020/2/27														1399	1399
2020/2/28														1603	1603
2020/2/29														1067	1067
2020/3/1														682	682
2020/3/2														1202	1202
2020/3/3														1776	1776
2020/3/4														1488	1488
2020/3/5														1678	1678
2020/3/6														2063	2063
2020/3/7														1722	1722
2020/3/8														608	608
2020/3/9														1248	1248
2020/3/10														2052	2052
2020/3/11														1885	1885
2020/3/12														1739	1739
2020/3/13														1564	1564
2020/3/14														1593	1593
2020/3/15														613	613
2020/3/16														1080	1080
2020/3/17														1779	1779
2020/3/18														1791	1791
2020/3/19														1745	1745
2020/3/20														1466	1466
2020/3/21														898	898
2020/3/22														857	857
2020/3/23														1392	1392
2020/3/24														2327	2327
2020/3/25														1909	1909
2020/3/26														2149	2149
2020/3/27														2265	2265
2020/3/28														2526	2526
2020/3/29														2109	2109
2020/3/30														3199	3199
2020/3/31														4082	4082
2020/4/1														4096	4096
2020/4/2														5070	5070
2020/4/3														5732	5732
2020/4/4														5921	5921
2020/4/5														3699	3699
2020/4/6														5469	5469
2020/4/7														7376	7376
2020/4/8														8064	8064
2020/4/9														8318	8318
2020/4/10														8310	8310
2020/4/11														7614	7614
2020/4/12														4412	4412
2020/4/13														7024	7024
2020/4/14														9205	9205
2020/4/15														9224	9224
2020/4/16														8916	8916
2020/4/17														9633	9633
2020/4/18														8708	8708
2020/4/19														4645	4645
2020/4/20														7142	7142
2020/4/21														8855	8855
2020/4/22														9412	9412
2020/4/23														9783	9783
2020/4/24														9957	9957
2020/4/25														8477	8477
2020/4/26														4314	4314
2020/4/27														7450	7450
2020/4/28														10077	10077
2020/4/29														7333	7333
2020/4/30														8345	8345
2020/5/1														9638	9638
2020/5/2														8971	8971
2020/5/3														5044	5044
2020/5/4														5356	5356
2020/5/5														5174	5174
2020/5/6														4663	4663
2020/5/7														8197	8197
2020/5/8														9554	9554
2020/5/9	15581	2225.86	12.3495050211228	12.3495050211228	15581	613		613	267	38.14	6250	8276	8276	8647	8647
2020/5/10	49	2232.86	3.88374139037942E-02	12.3883424350266	15630	8		621	249	73.71	6074	238	8514	3662	3662
2020/5/11	76	2243.71	6.02376215650685E-02	12.4485800565917	15706	22		643	243	108.43	5914	389	8903	7371	7371
