順位	都道府県CD	都道府県名	感染者数	コピペ用
1	47	沖縄県	106.58	沖縄県:106.58
2	15	新潟県	96.67	新潟県:96.67
3	16	富山県	94.90	富山県:94.90
4	1	北海道	94.44	北海道:94.44
5	17	石川県	90.59	石川県:90.59
6	19	山梨県	90.00	山梨県:90.00
7	20	長野県	86.52	長野県:86.52
8	31	鳥取県	83.84	鳥取県:83.84
9	13	東京都	81.36	東京都:81.36
10	5	秋田県	79.83	秋田県:79.83
11	21	岐阜県	74.79	岐阜県:74.79
12	3	岩手県	74.35	岩手県:74.35
13	34	広島県	73.36	広島県:73.36
14	6	山形県	70.88	山形県:70.88
15	4	宮城県	67.46	宮城県:67.46
16	2	青森県	64.38	青森県:64.38
17	27	大阪府	64.01	大阪府:64.01
18	9	栃木県	63.83	栃木県:63.83
19	37	香川県	63.25	香川県:63.25
20	44	大分県	62.73	大分県:62.73
21	7	福島県	62.57	福島県:62.57
22	29	奈良県	56.48	奈良県:56.48
23	14	神奈川県	56.00	神奈川県:56.00
24	26	京都府	55.47	京都府:55.47
25	40	福岡県	54.99	福岡県:54.99
26	18	福井県	54.77	福井県:54.77
27	24	三重県	54.57	三重県:54.57
28	12	千葉県	51.57	千葉県:51.57
29	11	埼玉県	49.68	埼玉県:49.68
30	23	愛知県	48.98	愛知県:48.98
31	10	群馬県	47.86	群馬県:47.86
32	28	兵庫県	46.08	兵庫県:46.08
33	32	島根県	45.89	島根県:45.89
34	41	佐賀県	45.60	佐賀県:45.60
35	30	和歌山県	45.42	和歌山県:45.42
36	46	鹿児島県	41.11	鹿児島県:41.11
37	42	長崎県	40.77	長崎県:40.77
38	25	滋賀県	38.77	滋賀県:38.77
39	35	山口県	38.45	山口県:38.45
40	33	岡山県	38.44	岡山県:38.44
41	45	宮崎県	38.33	宮崎県:38.33
42	38	愛媛県	37.83	愛媛県:37.83
43	43	熊本県	37.74	熊本県:37.74
44	22	静岡県	36.63	静岡県:36.63
45	8	茨城県	36.14	茨城県:36.14
46	36	徳島県	35.30	徳島県:35.30
47	39	高知県	27.62	高知県:27.62
