Week,Prefecture,Total,Medical institutions,Welfare facilities,(For the elderly),(For children),(For persons with disabilities),Restaurants,"Sports facilities, etc.","Schools,  etc.","Companies, etc.",Others
2021/01/01~2021/01/03,ALL,52,6,20,19,1,0,18,0,2,5,1
2021/01/04~2021/01/10,ALL,218,42,84,73,3,8,39,7,10,18,18
2021/01/11~2021/01/17,ALL,241,49,94,78,9,7,26,3,29,30,10
2021/01/18~2021/01/24,ALL,252,39,132,107,13,12,22,3,26,27,3
2021/01/25~2021/01/31,ALL,183,38,79,69,7,3,12,1,24,26,3
2021/02/01~2021/02/07,ALL,109,24,53,41,7,5,7,0,12,12,1
2021/02/08~2021/02/14,ALL,102,30,37,27,8,2,6,0,8,19,2
2021/02/15~2021/02/21,ALL,92,25,40,31,7,2,10,2,3,10,2
2021/02/22~2021/02/28,ALL,67,15,32,28,4,0,7,0,1,10,2
2021/03/01~2021/03/07,ALL,77,18,24,17,7,0,12,3,5,15,0
2021/03/08~2021/03/14,ALL,73,6,30,23,6,1,15,0,7,12,3
2021/03/15~2021/03/21,ALL,101,13,31,25,6,0,30,1,12,14,0
2021/03/22~2021/03/28,ALL,108,14,29,18,6,5,17,7,10,21,10
2021/03/29~2021/04/04,ALL,135,16,34,18,11,5,29,5,14,33,4
2021/04/05~2021/04/11,ALL,139,11,41,32,5,4,25,2,12,40,8
2021/04/19~2021/04/25,ALL,241,31,76,56,13,7,44,4,40,40,6
2021/04/26~2021/05/02,ALL,242,19,67,55,7,5,43,7,45,54,7
2021/05/03~2021/05/09,ALL,216,23,55,46,6,3,51,7,24,40,16
2021/05/10~2021/05/16,ALL,276,18,88,63,20,5,54,6,39,50,21
2021/05/17~2021/05/23,ALL,241,18,89,62,20,7,32,7,34,47,14
2021/05/24~2021/05/30,ALL,197,19,68,46,14,8,18,5,32,43,12
2021/05/31~2021/06/06,ALL,137,8,50,34,12,4,19,3,16,36,5
2021/06/07~2021/06/13,ALL,80,4,22,9,9,4,6,1,15,29,3
2021/06/14~2021/06/20,ALL,80,7,22,16,3,3,7,3,13,19,9
2021/06/21~2021/06/27,ALL,93,6,23,14,7,2,21,4,17,19,3
2021/06/28~2021/07/04,ALL,66,3,11,7,4,0,19,0,13,18,2
2021/07/05~2021/07/11,ALL,101,4,19,7,7,5,17,7,25,27,2
2021/07/12~2021/07/18,ALL,135,1,46,7,21,18,22,3,29,30,4
2021/07/19~2021/07/25,ALL,154,8,20,2,13,5,37,5,34,48,2
2021/07/26~2021/08/01,ALL,289,6,64,12,42,10,53,11,51,85,19
2021/08/02~2021/08/08,ALL,304,6,84,16,55,13,36,8,53,106,11
2021/08/09~2021/08/15,ALL,368,26,84,19,45,20,53,6,56,125,18
2021/08/16~2021/08/22,ALL,413,25,108,43,45,20,50,9,49,129,43
2021/08/23~2021/08/29,ALL,499,30,141,39,74,28,45,9,85,177,12
2021/08/30~2021/09/05,ALL,358,25,112,28,69,15,19,5,62,126,9
2021/09/06~2021/09/12,ALL,235,12,90,28,53,9,9,1,35,81,7
2021/09/13~2021/09/19,ALL,136,8,40,18,18,4,6,3,26,48,5
2021/09/20~2021/09/26,ALL,93,8,34,17,15,2,4,3,17,24,3
2021/09/27~2021/10/03,ALL,56,5,16,3,9,4,7,3,12,12,1
2021/10/04~2021/10/10,ALL,34,5,17,10,6,1,1,0,2,9,0
2021/10/11~2021/10/17,ALL,34,1,10,5,4,1,2,2,7,9,3
2021/10/18~2021/10/24,ALL,27,4,7,2,1,4,2,2,2,9,1
2021/10/25~2021/10/31,ALL,16,1,6,4,2,0,3,0,3,3,0
2021/11/01~2021/11/07,ALL,13,2,5,2,3,0,2,0,2,1,1
2021/11/08~2021/11/14,ALL,15,0,9,6,3,0,2,0,3,1,0
2021/11/15~2021/11/21,ALL,11,1,3,3,0,0,0,0,2,5,0
2021/11/22~2021/11/28,ALL,14,0,6,4,2,0,1,0,3,4,0
2021/11/29~2021/12/05,ALL,11,0,2,2,0,0,0,0,7,2,0
2021/12/06~2021/12/12,ALL,10,0,3,2,1,0,1,1,3,2,0
2021/12/13~2021/12/19,ALL,9,3,2,1,1,0,0,0,3,1,0
2021/12/20~2021/12/26,ALL,17,3,7,6,1,0,1,0,2,4,0
2021/12/27~2022/01/02,ALL,33,1,11,4,6,1,11,1,3,4,2
2022/01/03~2022/01/09,ALL,143,8,26,17,8,1,50,12,14,18,15
2022/01/10~2022/01/16,ALL,460,28,126,62,53,11,72,21,123,58,32
2022/01/17~2022/01/23,ALL,957,61,321,136,166,19,67,30,350,117,11
2022/01/24~2022/01/30,ALL,1124,130,507,265,207,35,14,14,351,100,8
2022/01/31~2022/02/06,ALL,1144,148,569,339,188,42,6,7,337,67,10
2022/02/07~2022/02/13,ALL,1167,142,665,440,171,54,8,6,270,70,6
2022/02/14~2022/02/20,ALL,1175,154,677,479,150,48,8,8,248,73,7
2022/02/21~2022/02/27,ALL,1029,111,604,349,187,68,3,8,219,79,5
2022/02/28~2022/03/06,ALL,1044,114,579,350,163,66,8,10,256,70,7
2022/03/07~2022/03/13,ALL,1036,82,589,314,208,67,13,7,262,76,7
2022/03/14~2022/03/20,ALL,735,51,316,120,168,28,22,7,262,73,4
2022/03/21~2022/03/27,ALL,488,45,211,79,115,17,23,11,151,41,6
2022/03/28~2022/04/03,ALL,595,44,262,108,133,21,37,22,149,68,13
2022/04/04~2022/04/10,ALL,620,63,272,111,139,22,17,15,171,75,7
2022/04/11~2022/04/17,ALL,707,83,300,138,126,36,11,10,213,77,13
2022/04/18~2022/04/24,ALL,684,65,268,147,96,25,14,8,267,58,4
2022/04/25~2022/05/01,ALL,567,46,225,128,79,18,3,12,239,37,5
2022/05/02~2022/05/08,ALL,421,59,165,120,29,16,12,13,136,33,3
2022/05/09~2022/05/15,ALL,558,57,217,145,58,14,11,18,200,47,8
2022/05/16~2022/05/22,ALL,662,55,316,155,139,22,5,6,220,50,10
2022/05/23~2022/05/29,ALL,496,55,224,125,82,17,4,14,164,32,3
2022/05/30~2022/06/05,ALL,380,46,178,112,47,19,5,5,120,25,1
2022/06/06~2022/06/12,ALL,303,42,140,80,48,12,6,4,91,18,2
2022/06/13~2022/06/19,ALL,308,32,155,90,54,11,3,9,87,17,5
2022/06/20~2022/06/26,ALL,310,26,160,88,59,13,3,3,91,23,4
2022/06/27~2022/07/03,ALL,399,39,154,93,50,11,11,10,139,39,7
2022/07/04~2022/07/10,ALL,636,86,268,143,106,19,18,17,177,66,4
2022/07/11~2022/07/17,ALL,1012,138,401,255,111,35,23,17,337,85,11
2022/07/18~2022/07/24,ALL,966,147,470,345,90,35,12,17,240,72,8
2022/07/25~2022/07/31,ALL,1293,253,696,506,118,72,2,8,233,88,13
2022/08/01~2022/08/07,ALL,1432,275,868,660,122,86,6,6,183,87,7
2022/08/08~2022/08/14,ALL,1340,266,850,719,77,54,1,5,126,91,1
2022/08/15~2022/08/21,ALL,1303,277,886,768,58,60,3,4,74,53,6
2022/08/22~2022/08/28,ALL,1322,210,975,820,79,76,0,3,85,44,5
2022/08/29~2022/09/04,ALL,988,170,655,534,67,54,1,0,130,31,1
2022/09/05~2022/09/11,ALL,908,157,575,462,70,43,0,1,151,23,1
2022/09/12~2022/09/18,ALL,674,111,411,330,45,36,0,1,123,25,3
2022/09/19~2022/09/25,ALL,359,60,223,181,22,20,0,1,67,7,1
2022/09/26~2022/10/02,ALL,282,55,197,168,9,20,0,4,22,3,1
2022/10/03~2022/10/09,ALL,257,44,182,147,11,24,0,0,30,1,0
2022/10/10~2022/10/16,ALL,315,58,220,181,14,25,1,1,30,4,1
2022/10/17~2022/10/23,ALL,335,66,222,186,15,21,0,0,43,4,0
2022/10/24~2022/10/30,ALL,446,98,305,251,27,27,1,1,35,6,0
2022/10/31~2022/11/06,ALL,615,114,436,382,18,36,0,1,57,6,1
2022/11/07~2022/11/13,ALL,766,151,555,496,19,40,0,0,50,10,0
2022/11/14~2022/11/20,ALL,849,161,617,543,42,32,1,0,60,9,1
2022/11/21~2022/11/27,ALL,1012,198,726,640,31,55,1,1,77,6,3
2022/11/28~2022/12/04,ALL,977,182,731,646,40,45,1,0,55,4,4
2022/12/05~2022/12/11,ALL,1137,214,820,709,50,61,0,1,94,8,0
2022/12/12~2022/12/18,ALL,1237,223,905,784,51,70,0,1,91,17,0
2022/12/19~2022/12/25,ALL,1088,205,823,726,44,53,0,1,52,7,0
2022/12/26~2023/01/01,ALL,995,169,800,714,19,67,0,0,19,6,1
2023/01/02~2023/01/08,ALL,920,221,691,647,7,37,0,0,4,4,0
2023/01/09~2023/01/15,ALL,971,174,780,714,13,53,0,0,10,7,0
2023/01/16~2023/01/22,ALL,828,173,615,545,30,40,0,0,35,4,1
2023/01/23~2023/01/29,ALL,630,144,459,412,16,31,0,0,26,1,0
2023/01/30~2023/02/05,ALL,454,102,330,289,27,14,0,0,20,2,0
2023/02/06~2023/02/12,ALL,329,78,238,211,17,10,0,0,10,3,0
2023/02/13~2023/02/19,ALL,226,61,156,135,6,15,0,0,8,1,0
2023/02/20~2023/02/26,ALL,155,42,108,89,7,12,0,0,5,0,0
2023/02/27~2023/03/05,ALL,154,50,98,89,5,4,0,0,4,2,0
2023/03/06~2023/03/12,ALL,110,29,79,76,0,3,0,0,2,0,0
2023/03/13~2023/03/19,ALL,101,28,73,69,2,2,0,0,0,0,0
2023/03/20~2023/03/26,ALL,64,17,45,37,1,7,0,0,1,1,0
2023/03/27~2023/04/02,ALL,80,27,53,43,2,8,0,0,0,0,0
2023/04/03~2023/04/09,ALL,87,20,64,57,3,4,0,0,3,0,0
2023/04/10~2023/04/16,ALL,89,18,67,61,0,6,0,0,3,1,0
2023/04/17~2023/04/23,ALL,77,18,57,50,2,5,0,0,1,1,0
