Date,Prefucture,Newly confirmed cases HERSYS,Newly confirmed cases
2022-09-13,ALL,107954,0
2022-09-13,Hokkaido,3954,0
2022-09-13,Aomori,863,0
2022-09-13,Iwate,878,0
2022-09-13,Miyagi,313,0
2022-09-13,Akita,1036,0
2022-09-13,Yamagata,685,0
2022-09-13,Fukushima,1567,0
2022-09-13,Ibaraki,346,0
2022-09-13,Tochigi,1514,0
2022-09-13,Gunma,1685,0
2022-09-13,Saitama,6088,0
2022-09-13,Chiba,4842,0
2022-09-13,Tokyo,11434,0
2022-09-13,Kanagawa,6111,0
2022-09-13,Niigata,1586,0
2022-09-13,Toyama,1091,0
2022-09-13,Ishikawa,1034,0
2022-09-13,Fukui,1024,0
2022-09-13,Yamanashi,668,0
2022-09-13,Nagano,1772,0
2022-09-13,Gifu,2332,0
2022-09-13,Shizuoka,3971,0
2022-09-13,Aichi,9421,0
2022-09-13,Mie,318,0
2022-09-13,Shiga,1777,0
2022-09-13,Kyoto,2606,0
2022-09-13,Osaka,9966,0
2022-09-13,Hyogo,5276,0
2022-09-13,Nara,1429,0
2022-09-13,Wakayama,862,0
2022-09-13,Tottori,59,0
2022-09-13,Shimane,546,0
2022-09-13,Okayama,1710,0
2022-09-13,Hiroshima,3188,0
2022-09-13,Yamaguchi,1128,0
2022-09-13,Tokushima,689,0
2022-09-13,Kagawa,1218,0
2022-09-13,Ehime,1053,0
2022-09-13,Kochi,949,0
2022-09-13,Fukuoka,4125,0
2022-09-13,Saga,179,0
2022-09-13,Nagasaki,278,0
2022-09-13,Kumamoto,1708,0
2022-09-13,Oita,1001,0
2022-09-13,Miyazaki,1096,0
2022-09-13,Kagoshima,1759,0
2022-09-13,Okinawa,819,0
2022-09-14,ALL,86306,0
2022-09-14,Hokkaido,3692,0
2022-09-14,Aomori,552,0
2022-09-14,Iwate,616,0
2022-09-14,Miyagi,216,0
2022-09-14,Akita,668,0
2022-09-14,Yamagata,704,0
2022-09-14,Fukushima,1384,0
2022-09-14,Ibaraki,332,0
